source_id,title,publisher,url,source_type,used_for,how_used_in_repository,redistribution_status,licence_or_copyright,notes
SRC-P01,"BB7 secures Innovate UK funding for new knowledge sharing platform with University of Leeds",BB7 Consulting,https://bbseven.com/bb7-secures-innovate-uk-funding-for-new-knowledge-sharing-platform-with-university-of-leeds/,Public announcement (May 2026),Product context only,Paraphrased summary in README and UI; no text copied,Not redistributed,Copyright BB7 Consulting,"Describes a 2.5-year KTP with the University of Leeds (Innovate UK supported) for a Knowledge Management and Training Platform using Explainable AI and Machine Learning, beginning with fire engineering. No BB7 internal technology is inferred."
SRC-P02,"Approved Document B (fire safety) Volume 1: Dwellings",HM Government,https://www.gov.uk/government/publications/fire-safety-approved-document-b,Statutory guidance,Standard record FSTD-001,Identifier and title only,No content reproduced,Crown copyright; published under the Open Government Licence v3.0,Edition not pinned; reviewer confirms current edition and amendments
SRC-P03,"Approved Document B (fire safety) Volume 2: Buildings other than dwellings",HM Government,https://www.gov.uk/government/publications/fire-safety-approved-document-b,Statutory guidance,Standard record FSTD-002,Identifier and title only,No content reproduced,Crown copyright; published under the Open Government Licence v3.0,Edition not pinned
SRC-P04,"The Building Regulations 2010 (SI 2010/2214)",UK Parliament,https://www.legislation.gov.uk/uksi/2010/2214/contents,Legislation,Standard record FSTD-008; requirement-level references (Schedule 1 Part B B1/B3/B5),Identifier and requirement letters only,No content reproduced,Crown copyright; Open Government Licence v3.0,Applicability to a material change of use is not determined by the demonstrator
SRC-P05,"Building Safety Act 2022",UK Parliament,https://www.legislation.gov.uk/ukpga/2022/30/contents,Legislation,Standard record FSTD-007; FREQ-010 (higher-risk building status),Identifier and title only,No content reproduced,Crown copyright; Open Government Licence v3.0,Higher-risk building status reported as UNKNOWN because building height is not recorded
SRC-P06,"BS 9991 Fire safety in the design, management and use of residential buildings. Code of practice",BSI,https://knowledge.bsigroup.com/,British Standard,Standard record FSTD-003,Identifier and title only,Not redistributed; no content reproduced,Copyright BSI; licensed publication,Edition not pinned
SRC-P07,"BS 5839-1 Fire detection and fire alarm systems for buildings. Code of practice for non-domestic premises",BSI,https://knowledge.bsigroup.com/,British Standard,Standard record FSTD-004; Category L2 in scenario text,Identifier and title only,Not redistributed; no content reproduced,Copyright BSI; licensed publication,Edition not pinned
SRC-P08,"BS 5839-6 Fire detection and fire alarm systems for buildings. Code of practice for domestic premises",BSI,https://knowledge.bsigroup.com/,British Standard,Standard record FSTD-005,Identifier and title only,Not redistributed; no content reproduced,Copyright BSI; licensed publication,Edition not pinned
SRC-P09,"BS 9251 Fire sprinkler systems for domestic and residential occupancies. Code of practice",BSI,https://knowledge.bsigroup.com/,British Standard,Standard record FSTD-006,Identifier and title only,Not redistributed; no content reproduced,Copyright BSI; licensed publication,Edition not pinned
SRC-S01,"Fire-engineering synthetic corpus (packs/fire-engineering/data)",Engineering Knowledge Intelligence demonstrator,packs/fire-engineering/data,Synthetic dataset,SCN-F01,Generated by scripts/generate_fire_corpus.py (seed 42 recorded; deterministic),Included in repository,Original demonstrator content; licence to be set by repository owner,"SIMULATED — PUBLIC DEMONSTRATOR DATA. No consultancy, client, building or project data."
SRC-S02,"Fire-engineering specialist profiles (packs/fire-engineering/agents)",Engineering Knowledge Intelligence demonstrator,packs/fire-engineering/agents,Original instructions,Specialist definitions,Loaded verbatim as system context when a model is configured,Included in repository,Original demonstrator content; licence to be set by repository owner,No standards text reproduced
SRC-U01,engineering-intelligence-simulation (automotive synthetic dataset),rahulphaltankar,https://github.com/rahulphaltankar/engineering-intelligence-simulation,Synthetic dataset,Automotive scenarios SCN-001..SCN-012,Vendored at a pinned commit by scripts/vendor_packs.py,Included verbatim under MIT with LICENSE file,MIT,"SIMULATED ENTERPRISE ARTEFACT - not OEM, customer or proprietary data"
SRC-U02,Quality-Engineering-Skills,RBraga01,https://github.com/RBraga01/Quality-Engineering-Skills,Agent Skills markdown,Automotive specialist definitions,Vendored verbatim; per-file MIT gate,Included verbatim under MIT with LICENSE file,MIT (per SKILL.md declaration),
SRC-U03,scientific-agents / automotive-engineer,K-Dense AI,https://github.com/K-Dense-AI/scientific-agents,Agent profile,Automotive domain specialist definition,Vendored verbatim,Included verbatim under MIT with LICENSE file,MIT,
